MATCH_TEXT,MERCHANT_NORMALIZED,CATEGORY,SUBCATEGORY
0792-POOR YOUR NW,,Unknown,
28TH FOOD MART,28th Food Mart,Restaurants,Snacks
2LEVY AT OMZ,,,
2ND STREET HAWTHOR,2nd Street Clothing,Shopping,Clothing
7-ELEVEN,,,
AIRVPN.ORG,AirVPN,Subscriptions,VPN
ALADDIN GYRO RESTA,,,
ALEFIRE,,,
ALPHABET BURGE,Alphabet Burger,Restaurants,Burgers
AMAZON MKTPL*Z89F2,,,
Amazon Prime,,,
AMAZON RETA* BD4Z3,,,
AMTRAK F&B SPINE,,,
AN XUYEN BAKERY,,,
APF*23rd Avenue Pr,23rd Avenue Properties,Rent,
APPLE.COM/BILL,Apple,Subscriptions,
ARBYS,Arby's,Restaurants,Fast Food
ARCO#83355BELMO,,,
ART SUPPLY CEN,,,
ARTESANIAIGUANASPO,Artesania Iguana,Shopping,Clothing
ASTRO,,,
ATE-OH-ATE - B,Ate-Oh-Ate,Restaurants,Hawaiian
ATLAS PIZZA KILLIN,,,
BABY DOLL PIZZ,Baby Doll Pizza,Restaurants,Pizza
BANWAIT OIL LLC,,Transportation,Gas
BASKIN,Baskin Robbins,Restaurants,Ice Cream
BAYFRONT MARKET,Bayfront Market,Restaurants,Snacks
BAYSIDE MARKET & DELI,,,
BEAUMONT DO IT BES,Do It Best Hardware,Shopping,Home Improvement
BELMONT 34 GRO,,,
BEST BAGUETTE,,,
BEST BUY,Best Buy,Shopping,Electronics
BEULAHLAND,Beulahland,Restaurants,Alcohol
BLACK CAT LLC,Black Cat,Restaurants,Coffee
BLICK ART 800,,,
BRICKS & MINIFIGS,Bricks & Minifigs,Shopping,Lego
BURGER KING,Burger King,Restaurants,Fast Food
BURGERVILLE,Burgerville,Restaurants,Fast Food
BYT SOUND TRANSIT,,,
BYT*KING COUNTY ME,,,
CAFE SOLSTICE,,,
CAFE YUMM,,,
CENTER MARKET,Barts Market,Restaurants,Snacks
CHAMPS BURGER,Champs Burger,Restaurants,Burgers
CHARLEYS PHILLY ST,,,
CHEESE & CRACK,,,
CHEVRON,Chevron,Transportation,Gas
CHICK-FIL-A,Chick-fil-A,Restaurants,Fast Food
CHOPPED CHEESE PDX,,,
CIRCLE K,Circle K,Transportation,Gas
CITY OF PORTLAND D,City of Portland,Unknown,
CITY STATE DINER A,,,
COIN METER LAUNDRY,Clean Pay,Utilities,Laundry
COLUMBIA ART AND DRAFT,,,
COMCAST / XFINITY,Xfinity,Utilities,Internet
COMCAST CABLE COMM,Comcast,Utilities,Internet
CREEPY'S,,,
CREMA COFFEE,Crema Coffee,Restaurants,Coffee
DAIRY QUEEN,Dairy Queen,Restaurants,Fast Food
DAVES HOT CHICKEN,Dave's Hot Chicken,Restaurants,Fast Food
DEL TACO,Del Taco,Restaurants,Fast Food
DEPT EDUCATION,,,
DEQ VIP NE PORTLAN,,,
DICK'S DRIVE IN BR,,,
DIVISION PINE,,,
DOMINGO'S,Domingo's,Restaurants,Mexican
DOMINO'S,,,
DON PEDRO VI,Don Pedro VI,Restaurants,Mexixan
DONNIE VEGAS,Donnie Vegas,Restaurants,Alcohol
DROPBOX,Dropbox,Subscriptions,Cloud Storage
eDeposit in Branch,Job Income,Income,Check Deposit
ELEMENTS MASSAGE,Elements Massage,Shopping,Gifts
Eweka Internet Ser,Eweka,Subscriptions,Usenet
FAST TIMES PIZ,,,
FASTRAK FUEL MAR,,,
FIVE GUYS - LL,Five Guys,Restaurants,Burgers
FOOT TRAFFIC NORTH,Foot Traffic,Shopping,Clothing
FRANKS A LOT,Franks A Lot,Restaurants,Hot Dogs
FRED-MEYE 3030 NE WEID,Fred Meyer,Groceries,
FRED-MEYE FRED MEYER 6,Fred Meyer,Groceries,
FRED-MEYER,Fred Meyer,Groceries,
FRED-MEYER #0600 FRED MEY PORTLAND,,,
FREETAXUSA.COM,FreeTaxUSA,Taxes,Tax Prep
FREETAXUSACOM,,,
FRIENDSHIP KIT,Frendship Kitchen,Restaurants,
FUBONN SUPERMARKET,Fubonn Supermarket,Groceries,
GEEK-HUB,GeekHub,Unknown,
GEICO,Geico,Insurance,Auto
GIRGIS LLC DBA HOOD AVE M GRESHAM,Hood Ave Market,Restaurants,Snacks
GOODWILL,,,
GOODWILL OF BROADW,,,
GOOGLE *YouTubePre,YouTube Premium,Subscriptions,Youtube
GRENDEL'S COFF,Grendel's Coffee,Restaurants,Coffee
GRESHAM BURRITO SH,Gresham Burrito,Restaurants,Mexican
HELLO PHO BANHMI B,Hello Pho,Restaurants,
HENRY HIGGINS,,,
HILLSIDE BAR,,,
HIT THE SPOT,,,
HOLMAN'S HELLO INN,,,
HOP FARES VENDING,Trimet,Transportation,Public Transit
HOP FASTPASS,,,
HUNGRY TIGER,Hungry Tiger,Restaurants,Alcohol
IN-N-OUT KEIZER,In-N-Out Burger,Restaurants,Fast Food
Instant Pmt from,Zelle,Reimbursements,
INTERNATIONAL PURCHASE TRANSACTION FEE,International Transaction Fee,Fees,
IPVANISH,,,
IPVanish VPN,IPVanish,Subscriptions,VPN
IRS,IRS,Income,Tax Refund
J AND T MARKET AND DELI,J and T Market and Deli,Restaurants,Snacks
JACK IN THE BOX,Jack in the Box,Restaurants,Fast Food
JERSEY MIKES,Jersey Mikes,Restaurants,Sandwiches
JM BANH MI,JM Banh Mi,Restaurants,Vietnamese
JOJO,,,
KARKI LLC,,,
KATIE OBRIENS REST,Katie O'Brien's,Restaurants,Alcohol
KILLER BURGER,Killer Burger,Restaurants,Burgers
LA CUCHARA,La Cucharita,Restaurants,Mexican
LAUGHING PLANET CA,Laughing Planet,Restaurants,
LIBERTY MUTUAL,Liberty Mutual,Insurance,Renters
LO?S BURGERS,Los Burgers,Restaurants,Burgers
MAD HANNA,,,
MCDONALD'S,McDonald's,Restaurants,Fast Food
MIDCITY SMASHE,Midcity Smash,Restaurants,Burgers
MIKES DRIVE IN,Mikes Drive In,Restaurants,Burgers
MOONSHOT TAVE,Moonshot Tavern,Restaurants,Alcohol
MUCHAS GRACIAS GLI,Muchas Gracias,Restaurants,Mexican
MULTNOMAH COUNTY E,Multnomah County,Unknown,
MY FATHERS PLACE,My Fathers Place,Restaurants,
NEW SEASONS MARKET,New Seasons Market,Groceries,
NON-WELLS FARGO ATM TRANSACTION FEE,Transaction Fee,Fees,
NON-WF ATM WITHDRAWAL,Transaction Fee,Fees,
NORTHWEST COMPOUNDERS,Northwest Compounders,Medical,Tea
OBSIDIAN,,,
OLD TOWN MUSIC,Old Town Music,Shopping,Music
OMART,,,
ONLINE TRANSFER FROM,Internal Transfer,Transfers,Savings to Checking
OPENAI,ChatGPT,Subscriptions,AI
OPENAI *CHATGPT SU,ChatGPT,Subscriptions,AI
OR LIQUOR STORE,Or Liquor Store,Groceries,Alcohol
OR REVENUE DEPT,Oregon Department of Revenue,Income,Tax Refund
OREGON JUDICIAL DE,,,
OREGON ZOO ECOMMER,,,
OXXO VIEJO VALLART,Oxxo,Resturants,Snacks
PAYDIRT,Paydirt,Restaurants,Alcohol
PAYPAL,,,
PAYPAL *AIRVPNDIPA,AirVPN,Subscriptions,VPN
PAYPAL *GEEKHUBPTY,,,
PAYPAL *GOG,GOG,Shopping,Video Games
PAYPAL *KIM C PLAT,,,
PAYPAL *STEAM GAME,,,
PEET'S,Peet's,Restaurants,Coffee
PENNY MARKET,,,
PETS ON BROADWAY,,,
PHO HUNG,Pho Hung,Restaurants,
PILOT,Pilot,Transportation,Gas
PITMAN RESTARAUNT,,,
PIZZA JERK,,,
PLAID PANTRY,Plaid Pantry,Restaurants,Snacks
Popeyes,Popeyes,Restaurants,Fast Food
PORKBUN.COM,,,
PORTLAND GENERAL E,PGE,Utilities,Electricity
PORTLAND TACOVORE,Tacovore,Restaurants,Mexican
POTATO CHAMPIO,Potato Champion,Restaurants,
PSU CASHIERS OFFCE,,,
PUFF COFFEE,Puff Coffee,Restaurants,Coffee
PY *2 KIDS CANDY S,2 Kids Candy Store,Restaurants,Snacks
PY *COUSINS MAINE,Cousins Maine Lobster,Restaurants,Seafood
QFC #5205 5544 E BURNSIDE PORTLAND,,,
RAILWAY,Railway,Subscriptions,Cloud Computing
RANCH MONTAVIL,Ranch,Restaurants,Pizza
RANCH PIZZA NO,,,
RANGOON BISTRO,Rangoon Bistro,Restaurants,
RECURRING TRANSFER TO,Internal Transfer,Transfers,Checking to Savings
ROCKET,Rocket,Unknown,
RONTOM'S,,,
SAFEWAY,Safeway,Groceries,
